Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alfred St,East Coast,6-5,0.545,168,1.90,172,-34.07,168,10.75,170,-17.40,2.19,210,-35.71
Bluffton,Heartland CAC,4-6,0.400,169,1.89,170,-33.86,161,11.55,175,-17.99,2.20,190,-30.21
Ripon,Midwest,5-5,0.500,170,1.83,175,-35.12,191,7.39,159,-15.09,2.21,211,-36.37
Curry,Commonwealth Coast,3-7,0.300,171,1.83,180,-36.47,181,8.52,171,-17.58,2.26,151,-24.58
Eastern Univ,Mid Atlantic,2-8,0.200,172,1.83,169,-33.78,182,8.46,158,-14.82,2.21,120,-20.71
SUNY Maritime,NE W&M,5-5,0.500,173,1.80,197,-41.37,215,4.08,176,-18.04,2.27,179,-28.81
NC Wesleyan,USA South,4-6,0.400,174,1.77,186,-37.92,213,4.60,160,-15.10,2.24,186,-29.69
Hamline,Minnesota IAC,4-6,0.400,175,1.76,184,-37.68,174,9.45,187,-19.72,2.18,185,-29.69
Defiance,Heartland CAC,4-6,0.400,176,1.75,181,-37.07,147,13.40,205,-23.06,2.20,184,-29.58
Adrian,Michigan IAA,1-9,0.100,177,1.75,153,-28.81,164,11.10,139,-12.50,2.27,157,-25.07
Buffalo St,Liberty League,2-8,0.200,178,1.75,173,-34.10,160,11.68,179,-18.37,2.19,142,-23.15
Framingham St,MASCAC,5-4,0.556,179,1.74,179,-35.98,207,5.20,150,-13.76,2.25,222,-41.28
Capital,Ohio AC,1-9,0.100,180,1.66,178,-35.48,130,15.23,207,-23.29,2.22,89,-17.42
Macalester,Minnesota IAC,3-7,0.300,181,1.65,176,-35.18,148,13.29,195,-21.05,2.25,193,-30.44
Sewanee,SAA,3-7,0.300,182,1.64,194,-40.40,203,5.96,183,-18.95,2.19,165,-26.60
Bethany WV,Presidents' AC,0-10,0.000,183,1.64,165,-33.04,166,10.83,166,-16.46,2.30,42,-12.69
Puget Sound,Northwest,3-6,0.333,184,1.63,193,-40.23,175,9.43,199,-22.25,2.39,169,-27.22
Simpson IA,American Rivers,3-7,0.300,185,1.62,187,-38.19,149,13.29,212,-24.06,2.22,168,-27.21
Anna Maria,East Coast,5-5,0.500,186,1.61,182,-37.25,109,17.14,224,-26.97,2.17,212,-37.11
McDaniel,Centennial,0-10,0.000,187,1.60,174,-34.47,170,10.31,169,-17.36,2.26,35,-11.86
Otterbein,Ohio AC,0-10,0.000,188,1.60,167,-33.30,180,8.74,156,-14.62,2.23,60,-14.19
Elmhurst,Ill & Wisc,2-8,0.200,189,1.59,198,-41.69,198,6.44,193,-20.72,2.33,103,-19.43
La Verne,Southern Cal IAC,2-8,0.200,190,1.57,192,-40.03,206,5.26,174,-17.88,2.24,145,-23.45
Lakeland,Northern Athletic,4-6,0.400,191,1.55,189,-39.43,184,8.26,189,-20.27,2.24,206,-34.48
Austin Col,American SW,1-9,0.100,192,1.54,183,-37.33,197,6.50,165,-16.41,2.25,126,-21.01
Guilford,Old Dominion AC,2-8,0.200,193,1.52,190,-39.52,178,9.14,196,-21.24,2.24,158,-25.28
Northwestern MN,Upper Midwest,6-4,0.600,194,1.51,202,-42.89,186,7.82,206,-23.29,2.14,220,-40.70
WI Lutheran,Northern Athletic,4-6,0.400,195,1.50,199,-41.94,193,7.06,197,-21.58,2.26,200,-33.30
Nichols,Commonwealth Coast,3-7,0.300,196,1.48,185,-37.75,100,17.82,226,-28.15,2.25,198,-32.75
Cornell IA,Midwest,6-4,0.600,197,1.47,207,-45.27,192,7.26,220,-25.11,2.18,216,-39.19
Buena Vista,American Rivers,2-8,0.200,198,1.46,191,-39.68,185,8.00,188,-20.26,2.20,162,-26.19
Alvernia,Mid Atlantic,1-9,0.100,199,1.42,196,-40.99,195,6.77,190,-20.35,2.17,107,-19.64
Norwich,NE W&M,1-9,0.100,200,1.42,188,-38.34,200,6.07,168,-16.99,2.17,159,-25.43
MN Morris,Upper Midwest,7-4,0.636,201,1.30,211,-46.03,201,6.06,217,-24.68,2.18,236,-46.83
Millsaps,SAA,1-9,0.100,202,1.30,204,-43.36,194,6.98,203,-22.93,2.21,130,-21.30
Plymouth St,MASCAC,4-6,0.400,203,1.24,203,-43.29,211,4.82,192,-20.69,2.18,227,-42.60
Millikin,Ill & Wisc,0-10,0.000,204,1.24,195,-40.68,208,5.04,178,-18.30,2.28,84,-16.68
Eureka,Northern Athletic,4-6,0.400,205,1.21,210,-45.60,205,5.38,209,-23.56,2.20,217,-39.58
Keystone,Landmark,2-8,0.200,206,1.21,209,-45.37,199,6.28,214,-24.22,2.16,177,-28.76
Greenville,Upper Midwest,5-5,0.500,207,1.18,200,-42.35,196,6.67,198,-21.59,2.14,240,-48.93
Methodist,USA South,2-8,0.200,208,1.17,201,-42.73,188,7.66,204,-22.97,2.25,203,-33.76
Gallaudet,East Coast,4-5,0.444,209,1.14,218,-47.95,223,1.95,200,-22.47,2.25,226,-42.55
Albright,Mid Atlantic,0-10,0.000,210,1.13,205,-43.68,222,2.21,180,-18.48,2.24,77,-15.82
St Scholastica,Minnesota IAC,2-8,0.200,211,1.11,208,-45.28,202,6.05,211,-23.90,2.26,199,-33.11
Greensboro,USA South,2-8,0.200,212,1.10,220,-48.47,217,3.85,219,-24.91,2.16,187,-29.93
Westfield St,MASCAC,3-7,0.300,213,1.09,212,-46.56,227,-1.28,173,-17.86,2.21,219,-40.50
Hartwick,Empire 8,1-9,0.100,214,1.07,206,-45.02,210,4.95,201,-22.55,2.31,167,-27.20
Juniata,Landmark,1-9,0.100,215,1.00,213,-46.81,204,5.90,221,-25.29,2.24,170,-27.27
Lyon,NCAA III Ind,4-4,0.500,216,1.00,222,-50.32,220,2.55,222,-25.45,2.29,234,-44.42
Kenyon,North Coast AC,2-8,0.200,217,0.99,217,-47.89,189,7.61,225,-28.09,2.22,202,-33.47
S Virginia,USA South,1-9,0.100,218,0.93,214,-46.97,212,4.73,215,-24.29,2.27,191,-30.28
Hiram,North Coast AC,1-9,0.100,219,0.89,219,-48.40,216,3.92,218,-24.90,2.19,181,-29.01
MA Maritime,MASCAC,2-8,0.200,220,0.80,224,-51.61,238,-5.66,181,-18.53,2.18,221,-40.88
Castleton,East Coast,2-7,0.222,221,0.78,221,-49.78,228,-1.40,194,-20.96,2.23,229,-43.09
Manchester,Heartland CAC,1-9,0.100,222,0.75,223,-51.52,226,-0.62,208,-23.49,2.24,196,-31.43
LaGrange,USA South,0-9,0.000,223,0.74,215,-47.43,218,3.81,210,-23.82,2.24,176,-28.73
Willamette,Northwest,1-9,0.100,224,0.73,227,-54.39,221,2.55,229,-29.52,2.29,160,-25.97
Luther IA,American Rivers,0-10,0.000,225,0.70,216,-47.51,214,4.24,216,-24.33,2.29,174,-28.20
Knox,Midwest,3-7,0.300,226,0.69,226,-53.66,231,-2.05,213,-24.20,2.26,233,-43.84
