parameter,rhat_pct,max_rhat,min_rhat,mean_ess,model_name,league
theta,1,1.0140683038246117,0.999439596885445,1476.7882760523776,model_1,NE
alpha_intercept,1,1.000419712613024,1.000419712613024,3073.430056462324,model_2,NE
alpha_trend,1,1.000988556386572,1.000988556386572,2873.4210944175243,model_2,NE
sigma_ai,1,0.999752256524258,0.999752256524258,5362.421231642028,model_2,NE
sigma_at,1,1.0002329660039548,1.0002329660039548,6332.643822068647,model_2,NE
sigma_m,1,1.0006942561205567,1.0006942561205567,4797.505600183899,model_2,NE
sigma_t,1,1.0003859221179203,1.0003859221179203,3344.4668665014133,model_2,NE
theta,1,1.0133893518473762,0.9996623511230498,1197.9190098446377,model_2,NE
alpha,1,1.0008004486597908,0.9996275041714976,5004.186795789173,model_3,NE
sigma_a,1,1.0005855418670273,1.0005855418670273,2460.144955759334,model_3,NE
sigma_m,1,0.9996068802542912,0.9996068802542912,5277.673221220967,model_3,NE
sigma_t,1,0.9996348020423572,0.9996348020423572,3567.3468245250515,model_3,NE
theta,1,1.016178819513138,0.9996682294366184,1170.2677247682757,model_3,NE
alpha,1,0.9995201298886752,0.9995201298886752,16220.688053373398,model_1,NFL
sigma_a,1,0.9996905571257496,0.9996905571257496,8514.6433347152,model_1,NFL
sigma_m,1,0.9994916340065296,0.9994916340065296,9908.816341919372,model_1,NFL
sigma_t,1,1.000462957625282,1.000462957625282,4959.803643182109,model_1,NFL
theta,1,1.000640903464844,0.9993606185302656,10488.941887547497,model_1,NFL
alpha_intercept,1,1.000087150765665,1.000087150765665,6638.682014728555,model_2,NFL
alpha_trend,1,0.999787815560069,0.999787815560069,6561.6964013049355,model_2,NFL
sigma_ai,1,0.9998899469364052,0.9998899469364052,8632.747019733584,model_2,NFL
sigma_at,1,0.9995035816827136,0.9995035816827136,7641.430710091823,model_2,NFL
sigma_m,1,0.9998740712119994,0.9998740712119994,10177.084950557866,model_2,NFL
sigma_t,1,0.9999516008930748,0.9999516008930748,4285.719340191116,model_2,NFL
theta,1,1.000737008321415,0.999376798036814,9451.42642250974,model_2,NFL
alpha,1,0.9999226183038122,0.9994651006056846,13947.709386668892,model_3,NFL
sigma_a,1,0.9994865205574858,0.9994865205574858,9184.79638288665,model_3,NFL
sigma_m,1,0.9994738581784984,0.9994738581784984,11446.215155960132,model_3,NFL
sigma_t,1,1.0002418478566042,1.0002418478566042,5404.207577641303,model_3,NFL
theta,1,1.001033202892125,0.999366573929167,10783.379985794409,model_3,NFL
alpha,1,0.9995744156793678,0.9995744156793678,7249.522851108619,model_1,NH
sigma_a,1,0.9994417123015228,0.9994417123015228,6834.96430150342,model_1,NH
sigma_m,1,1.0005282301224088,1.0005282301224088,5239.5122222727305,model_1,NH
sigma_t,1,1.001571625210634,1.001571625210634,3397.758975440626,model_1,NH
